19/03/2021;33,2;17,4
20/03/2021;32,5;21,8
21/03/2021;32,9;21
22/03/2021;34,4;19,9
23/03/2021;33,7;20,1
24/03/2021;35,1;20,4
25/03/2021;35,5;22,2
26/03/2021;34,2;21,9
27/03/2021;33,5;21,1
28/03/2021;31,5;20,8
29/03/2021;28,4;19,2
30/03/2021;27;14,2
31/03/2021;28,1;10,9
01/04/2021;29,2;12,1
02/04/2021;30,2;13,3
03/04/2021;31,6;15,6
04/04/2021;30,9;17
05/04/2021;31,6;18,3
06/04/2021;29;16,9
07/04/2021;30,7;16,7
08/04/2021;31;18,9
09/04/2021;31,3;20,3
10/04/2021;32;19,2
11/04/2021;33,3;17,7
12/04/2021;29,4;18,1
13/04/2021;31,2;15,3
14/04/2021;29,6;17,7
15/04/2021;29,9;18,3
16/04/2021;25,7;16,4
17/04/2021;29,8;13,4
18/04/2021;30,3;15,3
19/04/2021;28,7;15,4
20/04/2021;28,8;14,6
21/04/2021;28,3;14,7
22/04/2021;28,1;14,8
23/04/2021;26,8;16
24/04/2021;22,5;15,7
25/04/2021;25,5;13,9
26/04/2021;25,7;11,8
27/04/2021;25,6;6,7
28/04/2021;27,7;8,6
29/04/2021;27,3;8,9
30/04/2021;26,9;10
01/05/2021;28,1;12,2
02/05/2021;30,1;14,5
03/05/2021;30,2;16,2
04/05/2021;31,3;15,7
05/05/2021;31,1;14,6
06/05/2021;22;13
07/05/2021;21,6;7,7
08/05/2021;25,2;8,7
09/05/2021;27,4;13,7
10/05/2021;29;14,2
11/05/2021;26,8;11,6
12/05/2021;18,4;14,5
13/05/2021;23,2;10,9
14/05/2021;23,4;11,4
15/05/2021;26,2;10,2
16/05/2021;27,5;11,2
17/05/2021;26,6;10,7
18/05/2021;25,6;7,6
19/05/2021;27,6;5,2
20/05/2021;28,8;8,6
21/05/2021;29,8;15,7
22/05/2021;24,9;13,5
23/05/2021;19,5;4,8
24/05/2021;19,3;1,8
25/05/2021;25,1;2,7
26/05/2021;25,6;8,6
27/05/2021;28,4;13,1
28/05/2021;29,8;18,4
29/05/2021;28,3;19,5
30/05/2021;24,6;12,7
31/05/2021;25,2;11,1
01/06/2021;23,6;10,9
02/06/2021;27,8;14,8
03/06/2021;29,2;15,2
04/06/2021;29,2;15,4
05/06/2021;30,3;19
06/06/2021;20,7;15,1
07/06/2021;23,2;15,8
08/06/2021;23,7;16
09/06/2021;25;15,5
10/06/2021;23,4;15,8
11/06/2021;23,3;11,6
12/06/2021;22,7;6,4
13/06/2021;23,7;7,7
14/06/2021;24,5;8,6
15/06/2021;24,4;6,9
16/06/2021;22,2;7,9
17/06/2021;20,4;7,4
18/06/2021;18,4;11
19/06/2021;15,9;11,2
20/06/2021;18,4;10,4
21/06/2021;15,4;10,1
22/06/2021;22;13,8
23/06/2021;24,4;16,2
24/06/2021;24,6;15
25/06/2021;27,1;14,3
26/06/2021;28,4;18,1
27/06/2021;21,9;8,9
28/06/2021;9,3;1,7
29/06/2021;12,1;-2
30/06/2021;18,5;-1,2
01/07/2021;19,9;2,2
02/07/2021;24;5,1
03/07/2021;24,5;3,5
04/07/2021;25,9;6,3
05/07/2021;26;9,8
06/07/2021;25,6;8,7
07/07/2021;25,1;9,9
08/07/2021;26,6;7,5
09/07/2021;25,2;8,6
10/07/2021;27,5;9,5
11/07/2021;27,5;9
12/07/2021;28,5;8,2
13/07/2021;28;12,6
14/07/2021;28,3;13,3
15/07/2021;23,9;15
16/07/2021;18,6;14,3
17/07/2021;21,7;8,1
18/07/2021;13,8;-0,4
19/07/2021;16,6;-3
20/07/2021;22;0
21/07/2021;26;4,3
22/07/2021;29,3;5,5
23/07/2021;30,5;10,2
24/07/2021;30,4;13,4
25/07/2021;30,2;13,2
26/07/2021;31,9;15,5
27/07/2021;22,6;4,7
28/07/2021;13;1,2
29/07/2021;13,6;-3,9
30/07/2021;19,1;-3,8
31/07/2021;20,4;4
01/08/2021;23,9;8,6
02/08/2021;24,2;4,5
03/08/2021;24,6;2,8
04/08/2021;24;6,8
05/08/2021;26,4;10,8
06/08/2021;28,2;15,4
07/08/2021;29;14,8
08/08/2021;29,9;14,5
09/08/2021;32,2;14,7
10/08/2021;24,7;14,1
11/08/2021;23,1;13,5
12/08/2021;21;13,5
13/08/2021;17;13,3
14/08/2021;27;12,6
15/08/2021;29,2;15,3
16/08/2021;32,5;13,7
17/08/2021;34,3;15,5
18/08/2021;36,4;16
19/08/2021;35,2;17,7
20/08/2021;34,1;15,5
21/08/2021;34;16
22/08/2021;34,4;17,3
23/08/2021;31,2;15,7
24/08/2021;32,6;18,8
25/08/2021;32,4;15,5
26/08/2021;18,2;9,1
27/08/2021;21,5;6,6
28/08/2021;26,2;11,6
29/08/2021;29,7;14,8
30/08/2021;29,2;13,9
